x,y,ridge_diff_velocity_scaled
660769.3959853156,-1466018.9872927612,-0.6877505266317137
660524.5841926705,-1466069.5289130982,-1.090983316814084
660279.6506508782,-1466119.4221465797,-0.5902829867850095
660033.7273668288,-1466164.1409770525,0.6718798828544035
659787.084368099,-1466204.931530313,0.9077921718773965
659540.2179473665,-1466244.3551645274,-3.266884859353363
659293.3088245557,-1466283.516860825,-2.62285803072006
659046.9075426448,-1466325.6733433548,-2.417690816343322
658800.9735795769,-1466370.5539354682,-3.0162391517411358
658555.1592034727,-1466416.1015524105,-5.506116752345823
658309.1846566735,-1466460.7462933955,-2.6388505389042027
658063.0655177836,-1466504.5921240759,-4.9473201150997586
657817.061642551,-1466549.0941983324,-3.5746137060766294
657570.9445401848,-1466592.9381236762,-1.7647031187833022
657324.1494106103,-1466632.6251488463,-0.683243927761124
657076.9650844714,-1466669.957079714,-2.149793653002675
656830.1264064627,-1466709.533285527,-0.3487677946874257
656583.4098482162,-1466749.9031407672,-2.511347404578922
656336.5971797731,-1466789.684688165,-1.476996616203289
656089.7120479139,-1466829.0044443407,-8.117281920510042
655843.3114571626,-1466871.0316997953,-2.961598493915007
655597.3336202553,-1466915.253461892,-1.1456351775561622
677541.4439373446,-1462050.755933134,-4.4946339399015045
677294.0318958256,-1462086.531662293,-4.759802861086129
677046.5984519601,-1462122.23289655,-3.23698796310865
676799.3751998985,-1462159.3755189162,-4.203271863201413
670405.7111594324,-1463308.5313227053,-6.739330746220309
670156.5745560646,-1463328.9404968137,-8.071612096523326
669908.3822025824,-1463357.1655210417,-8.980904548952868
669662.6452349026,-1463401.7444839044,-10.95773393911127
669173.9588846762,-1463507.1792600842,0.6737541791923869
668928.2878678903,-1463553.383451333,1.816306246225802
668682.0857525081,-1463596.7679700877,-1.5962678853640475
668435.6846680086,-1463639.001150537,-2.5959158074217608
668189.1410343602,-1463680.355954162,-0.4965880375775841
656380.2160542706,-1465762.958712465,-8.447961582206204
656132.8121802168,-1465798.3717633847,-8.860811748556163
655887.1292821786,-1465843.7651984224,-8.857927831958039
655642.6552731834,-1465895.9756754027,-9.31064112498648
677411.3727550242,-1461045.4848964447,-2.473682541824246
677166.5644156712,-1461096.1110942701,-5.264453571327989
676922.0444832275,-1461148.1275445903,-6.469772146124523
676677.5815198147,-1461200.3264000707,-5.828833028148074
670276.3278144228,-1462293.7950800073,-10.138095654942669
670032.613142291,-1462349.3108241758,-11.066465198851112
669788.8093501886,-1462404.1476753608,-11.655137043558254
669542.487373484,-1462445.013657422,-11.219682708886635
668305.0349593805,-1462619.643108515,-10.716618870566345
668058.8086358559,-1462661.848973219,-10.882862517205119
667814.8668340778,-1462716.178602777,-13.060003135183816
667571.5106587462,-1462773.1759283203,-13.468833550512786
667326.7848470334,-1462823.8447664094,-5.66053207362658
656259.7091596611,-1464809.9419111134,-10.138775245193218
656013.6496063698,-1464854.0667100938,-8.198709733521582
655767.9984979175,-1464900.4028610787,-9.360994251416887
655521.3578124557,-1464939.3302480706,-9.346349108986407
666733.1045290084,-1461904.122871149,-7.737774384471852
666981.5596133852,-1461876.575795159,-7.47262262821944
667229.5245892319,-1461844.920679949,-6.580818935505889
667476.3828647366,-1461806.0292570076,-5.674917469444981
669441.8224405206,-1461446.1492490573,-15.52989999484666
669687.7041724017,-1461401.4308514795,-6.222622869320336
669931.9097787165,-1461348.1621452346,-5.447166981091405
670175.71786429,-1461292.992548493,-4.057216640439012
676576.7437456107,-1460173.5767573481,-2.498286395503321
676821.5671752229,-1460123.0191259407,-3.3482097306078096
677066.9565198936,-1460075.614855607,-9.220584840645522
677313.5838286062,-1460034.9443065536,-8.458165488289369
655154.9650073643,-1462922.8533101457,-10.82412018244079
655400.3535589833,-1462875.3204155702,-15.478969371818335
655645.9885801236,-1462829.1040872973,-11.577432160879512
655893.0236165471,-1462791.1741759873,-9.897607599476
665978.0159723716,-1461029.7931887808,-11.989126415960497
666223.8884755409,-1460984.6196350201,-13.412929340636541
666469.1770470522,-1460936.4942628779,-13.072902228791055
666714.1341969073,-1460886.62784236,-15.028976739505474
669421.7935574873,-1460408.9575701365,-1.202239405493934
669668.4992047996,-1460368.5329963015,-1.7812301081063246
669915.0643306744,-1460327.2622724618,-0.7940557042564009
670161.2958337304,-1460284.0447606703,0.8001246723151176
676308.8872703509,-1459176.0597369056,-4.81205102124307
676554.2628377246,-1459128.621823983,-4.536576462458054
676801.1587638509,-1459090.0709604723,-4.359312963603466
677048.815859781,-1459055.9760914068,-4.212962083415897
677026.2886840856,-1458054.0577714043,1.257382887364205
676780.0569587903,-1458097.1905950427,1.7307080550506893
676533.7132616956,-1458139.758935363,5.52869378132567
676287.2116326469,-1458181.3150268756,1.73319514193774
676040.3250876751,-1458220.556896574,-2.101873349313351
675793.5986892986,-1458260.8165375222,-0.8507282998877876
675547.4533001895,-1458304.4426891913,5.8375235231583
675301.9591648877,-1458351.576532905,9.806782045600224
675057.5682511537,-1458403.9984648142,-5.758863865259519
674814.0624980096,-1458460.565685535,-7.375141158805766
674569.9002735169,-1458514.0709335685,-3.5964912280701764
674324.1611431498,-1458559.602657248,-6.878045258694195
674077.0603103995,-1458597.297653509,-6.721614801600154
673829.6331342588,-1458632.9972009258,-5.985432035793107
673582.2693793774,-1458669.1655467802,1.238047742536077
673335.1196927611,-1458706.705338307,0.309372881325638
673088.4945061555,-1458747.5852643645,-0.942743555173541
672842.3897571776,-1458791.4837436108,-5.431441397894382
672596.9629047906,-1458838.9897916736,1.875201886083571
672351.7519197097,-1458887.6091842894,-3.89183895145037
672106.0165720573,-1458933.502991863,-5.062241321668103
671859.9166056345,-1458977.4797100085,-5.248180920645884
671613.6449615684,-1459020.4457709617,-1.2826061097531483
671366.6180949525,-1459058.581635151,1.6929824561403537
671118.8725735655,-1459091.928826517,3.2783892134967294
670871.342495707,-1459126.8179669795,1.3489861812074302
670624.401700875,-1459165.7321479316,0.19971445581666125
670377.83186397,-1459206.9436022674,1.0741214652655051
670130.8582877169,-1459245.43201614,1.5732040959899964
669882.8515710018,-1459276.5433575779,-0.34442201629907343
669634.5525565548,-1459305.4145231133,-1.1890980965328755
669387.1066202202,-1459340.5470428413,0.37326748950720834
669141.2059801854,-1459385.134015325,0.4200074316787923
668897.469637274,-1459440.2276321063,6.801447361608801
